image,Anthocyanin (mg/100g),TPC (mg GAE/g),TFC (mg QE/g),DPPH % Inhibition
Stage3 (88).jpg,644.73,41.28,6.31,63.95
Stage3 (89).jpg,644.93,41.48,6.51,64.15
Stage3 (90).jpg,645.13,41.68,6.71,64.35
Stage3 (91).jpg,645.33,41.88,6.91,64.55
Stage3 (92).jpg,645.53,42.08,7.11,64.75
Stage3 (93).jpg,645.73,42.28,7.31,64.95
Stage3 (94).jpg,645.93,42.48,7.51,65.15
Stage3 (95).jpg,641.33,37.88,2.91,60.55
Stage3 (96).jpg,641.53,38.08,3.11,60.75
Stage3 (97).jpg,641.73,38.28,3.31,60.95
Stage3 (98).jpg,641.93,38.48,3.51,61.15
Stage3 (99).jpg,642.13,38.68,3.71,61.35
Stage3 (100).jpg,642.33,38.88,3.91,61.55
Stage3 (101).jpg,642.53,39.08,4.11,61.75
Stage3 (102).jpg,642.73,39.28,4.31,61.95
Stage3 (103).jpg,642.93,39.48,4.51,62.15
Stage3 (104).jpg,643.13,39.68,4.71,62.35
Stage3 (105).jpg,643.33,39.88,4.91,62.55
Stage3 (106).jpg,643.53,40.08,5.11,62.75
Stage3 (107).jpg,643.73,40.28,5.31,62.95
Stage3 (108).jpg,643.93,40.48,5.51,63.15
Stage3 (109).jpg,644.13,40.68,5.71,63.35
Stage3 (110).jpg,644.33,40.88,5.91,63.55
Stage3 (111).jpg,644.53,41.08,6.11,63.75
Stage3 (112).jpg,644.73,41.28,6.31,63.95
Stage3 (113).jpg,641.53,38.08,3.11,60.75
Stage3 (114).jpg,641.73,38.28,3.31,60.95
Stage3 (115).jpg,641.93,38.48,3.51,61.15
Stage3 (116).jpg,642.13,38.68,3.71,61.35
Stage3 (117).jpg,642.33,38.88,3.91,61.55
Stage3 (118).jpg,642.53,39.08,4.11,61.75
Stage3 (119).jpg,642.73,39.28,4.31,61.95
Stage3 (120).jpg,642.93,39.48,4.51,62.15
Stage3 (121).jpg,643.13,39.68,4.71,62.35
Stage3 (122).jpg,643.33,39.88,4.91,62.55
Stage3 (123).jpg,643.53,40.08,5.11,62.75
Stage3 (124).jpg,643.73,40.28,5.31,62.95
Stage3 (125).jpg,643.93,40.48,5.51,63.15
Stage3 (126).jpg,644.13,40.68,5.71,63.35
Stage3 (127).jpg,644.33,40.88,5.91,63.55
Stage3 (128).jpg,644.53,41.08,6.11,63.75
Stage3 (129).jpg,644.73,41.28,6.31,63.95
Stage3 (130).jpg,644.93,41.48,6.51,64.15
Stage3 (131).jpg,645.13,41.68,6.71,64.35
Stage3 (132).jpg,645.33,41.88,6.91,64.55
Stage3 (133).jpg,645.53,42.08,7.11,64.75
Stage3 (134).jpg,645.73,42.28,7.31,64.95
Stage3 (135).jpg,645.93,42.48,7.51,65.15
Stage3 (136).jpg,641.33,37.88,2.91,60.55
Stage3 (137).jpg,641.53,38.08,3.11,60.75
Stage3 (138).jpg,641.73,38.28,3.31,60.95
Stage3 (139).jpg,641.93,38.48,3.51,61.15
Stage3 (140).jpg,642.13,38.68,3.71,61.35
Stage3 (141).jpg,642.33,38.88,3.91,61.55
Stage3 (142).jpg,642.53,39.08,4.11,61.75
Stage3 (143).jpg,642.73,39.28,4.31,61.95
Stage3 (144).jpg,642.93,39.48,4.51,62.15
Stage3 (145).jpg,643.13,39.68,4.71,62.35
Stage3 (146).jpg,643.33,39.88,4.91,62.55
Stage3 (147).jpg,643.53,40.08,5.11,62.75
Stage3 (148).jpg,643.73,40.28,5.31,62.95
Stage3 (149).jpg,643.93,40.48,5.51,63.15
Stage3 (150).jpg,644.13,40.68,5.71,63.35
Stage3 (151).jpg,644.33,40.88,5.91,63.55
Stage3 (152).jpg,644.53,41.08,6.11,63.75
Stage3 (153).jpg,644.73,41.28,6.31,63.95
Stage3 (154).jpg,644.93,41.48,6.51,64.15
Stage3 (155).jpg,645.13,41.68,6.71,64.35
Stage3 (156).jpg,645.33,41.88,6.91,64.55
Stage3 (157).jpg,645.53,42.08,7.11,64.75
Stage3 (158).jpg,645.73,42.28,7.31,64.95
Stage3 (159).jpg,645.93,42.48,7.51,65.15
Stage3 (160).jpg,644.13,40.68,5.71,63.35
Stage3 (161).jpg,644.33,40.88,5.91,63.55
Stage3 (162).jpg,644.53,41.08,6.11,63.75
Stage3 (163).jpg,644.73,41.28,6.31,63.95
Stage3 (164).jpg,644.93,41.48,6.51,64.15
Stage3 (165).jpg,645.13,41.68,6.71,64.35
Stage3 (166).jpg,645.33,41.88,6.91,64.55
Stage3 (167).jpg,645.53,42.08,7.11,64.75
Stage3 (168).jpg,645.73,42.28,7.31,64.95
Stage3 (169).jpg,645.93,42.48,7.51,65.15
Stage3 (170).jpg,641.33,37.88,2.91,60.55
Stage3 (171).jpg,641.53,38.08,3.11,60.75
Stage3 (172).jpg,641.73,38.28,3.31,60.95
Stage3 (173).jpg,641.93,38.48,3.51,61.15
Stage3 (174).jpg,644.13,40.68,5.71,63.35
Stage3 (175).jpg,644.33,40.88,5.91,63.55
Stage3 (176).jpg,644.53,41.08,6.11,63.75
Stage3 (177).jpg,644.73,41.28,6.31,63.95
Stage3 (178).jpg,644.93,41.48,6.51,64.15
Stage3 (179).jpg,645.13,41.68,6.71,64.35
Stage3 (180).jpg,645.33,41.88,6.91,64.55
Stage3 (181).jpg,645.53,42.08,7.11,64.75
Stage3 (182).jpg,645.73,42.28,7.31,64.95
Stage3 (183).jpg,645.93,42.48,7.51,65.15
Stage3 (184).jpg,641.33,37.88,2.91,60.55
Stage3 (185).jpg,641.53,38.08,3.11,60.75
Stage3 (186).jpg,641.73,38.28,3.31,60.95
Stage3 (187).jpg,641.93,38.48,3.51,61.15
Stage3 (188).jpg,642.13,38.68,3.71,61.35
Stage3 (189).jpg,642.33,38.88,3.91,61.55
Stage3 (190).jpg,642.53,39.08,4.11,61.75
Stage3 (191).jpg,642.73,39.28,4.31,61.95
Stage3 (192).jpg,642.93,39.48,4.51,62.15
Stage3 (193).jpg,643.13,39.68,4.71,62.35
Stage3 (194).jpg,643.33,39.88,4.91,62.55
Stage3 (195).jpg,643.53,40.08,5.11,62.75
Stage3 (196).jpg,644.13,40.68,5.71,63.35
Stage3 (197).jpg,644.33,40.88,5.91,63.55
Stage3 (198).jpg,644.53,41.08,6.11,63.75
Stage3 (199).jpg,644.73,41.28,6.31,63.95
Stage3 (200).jpg,644.93,41.48,6.51,64.15
Stage3 (201).jpg,645.13,41.68,6.71,64.35
Stage3 (202).jpg,645.33,41.88,6.91,64.55
Stage3 (203).jpg,645.53,42.08,7.11,64.75
Stage3 (204).jpg,645.73,42.28,7.31,64.95
Stage3 (205).jpg,645.93,42.48,7.51,65.15
Stage3 (206).jpg,641.33,37.88,2.91,60.55
Stage3 (207).jpg,641.53,38.08,3.11,60.75
Stage3 (208).jpg,641.73,38.28,3.31,60.95
Stage3 (209).jpg,641.93,38.48,3.51,61.15
Stage3 (210).jpg,642.13,38.68,3.71,61.35
Stage3 (211).jpg,642.33,38.88,3.91,61.55
Stage3 (212).jpg,642.53,39.08,4.11,61.75
Stage3 (213).jpg,641.53,38.08,3.11,60.75
Stage3 (214).jpg,641.73,38.28,3.31,60.95
Stage3 (215).jpg,641.93,38.48,3.51,61.15
Stage3 (216).jpg,642.13,38.68,3.71,61.35
Stage3 (217).jpg,642.33,38.88,3.91,61.55
Stage3 (218).jpg,642.53,39.08,4.11,61.75
Stage3 (219).jpg,642.73,39.28,4.31,61.95
Stage3 (220).jpg,642.93,39.48,4.51,62.15
Stage3 (221).jpg,643.13,39.68,4.71,62.35
Stage3 (222).jpg,643.33,39.88,4.91,62.55
Stage3 (223).jpg,643.53,40.08,5.11,62.75
Stage3 (224).jpg,643.73,40.28,5.31,62.95
Stage3 (225).jpg,643.93,40.48,5.51,63.15
Stage3 (226).jpg,644.13,40.68,5.71,63.35
Stage3 (227).jpg,644.33,40.88,5.91,63.55
Stage3 (228).jpg,644.53,41.08,6.11,63.75
Stage3 (229).jpg,644.73,41.28,6.31,63.95
Stage3 (230).jpg,644.93,41.48,6.51,64.15
Stage3 (231).jpg,645.13,41.68,6.71,64.35
Stage3 (232).jpg,645.33,41.88,6.91,64.55
Stage3 (233).jpg,645.53,42.08,7.11,64.75
Stage3 (234).jpg,645.73,42.28,7.31,64.95
Stage3 (235).jpg,645.93,42.48,7.51,65.15
Stage3 (236).jpg,641.33,37.88,2.91,60.55
Stage3 (237).jpg,641.53,38.08,3.11,60.75
Stage3 (238).jpg,641.73,38.28,3.31,60.95
Stage3 (239).jpg,641.93,38.48,3.51,61.15
Stage3 (240).jpg,642.13,38.68,3.71,61.35
Stage3 (241).jpg,642.33,38.88,3.91,61.55
Stage3 (242).jpg,642.53,39.08,4.11,61.75
Stage3 (243).jpg,642.73,39.28,4.31,61.95
Stage3 (244).jpg,642.93,39.48,4.51,62.15
Stage3 (245).jpg,643.13,39.68,4.71,62.35
Stage3 (246).jpg,643.33,39.88,4.91,62.55
Stage3 (247).jpg,643.53,40.08,5.11,62.75
Stage3 (248).jpg,643.73,40.28,5.31,62.95
Stage3 (249).jpg,643.93,40.48,5.51,63.15
Stage3 (250).jpg,644.13,40.68,5.71,63.35
Stage3 (251).jpg,644.33,40.88,5.91,63.55
Stage3 (252).jpg,644.53,41.08,6.11,63.75
Stage3 (253).jpg,644.73,41.28,6.31,63.95
Stage3 (254).jpg,644.93,41.48,6.51,64.15
Stage3 (255).jpg,645.13,41.68,6.71,64.35
Stage3 (256).jpg,645.33,41.88,6.91,64.55
Stage3 (257).jpg,645.53,42.08,7.11,64.75
Stage3 (258).jpg,645.73,42.28,7.31,64.95
Stage3 (259).jpg,645.93,42.48,7.51,65.15
Stage3 (260).jpg,644.13,40.68,5.71,63.35
Stage3 (261).jpg,644.33,40.88,5.91,63.55
Stage3 (262).jpg,644.53,41.08,6.11,63.75
Stage3 (263).jpg,644.73,41.28,6.31,63.95
Stage3 (264).jpg,644.93,41.48,6.51,64.15
Stage3 (265).jpg,645.13,41.68,6.71,64.35
Stage3 (266).jpg,645.33,41.88,6.91,64.55
Stage3 (267).jpg,645.53,42.08,7.11,64.75
Stage3 (268).jpg,645.73,42.28,7.31,64.95
Stage3 (269).jpg,645.93,42.48,7.51,65.15
Stage3 (270).jpg,641.33,37.88,2.91,60.55
Stage3 (271).jpg,641.53,38.08,3.11,60.75
Stage3 (272).jpg,641.73,38.28,3.31,60.95
Stage3 (273).jpg,641.93,38.48,3.51,61.15
Stage3 (274).jpg,644.13,40.68,5.71,63.35
Stage3 (275).jpg,644.33,40.88,5.91,63.55
Stage3 (276).jpg,644.53,41.08,6.11,63.75
Stage3 (277).jpg,644.73,41.28,6.31,63.95
Stage3 (278).jpg,644.93,41.48,6.51,64.15
Stage3 (279).jpg,645.13,41.68,6.71,64.35
Stage3 (280).jpg,645.33,41.88,6.91,64.55
Stage3 (281).jpg,645.53,42.08,7.11,64.75
Stage3 (282).jpg,645.73,42.28,7.31,64.95
Stage3 (283).jpg,645.93,42.48,7.51,65.15
Stage3 (284).jpg,641.33,37.88,2.91,60.55
Stage3 (285).jpg,641.53,38.08,3.11,60.75
Stage3 (286).jpg,641.73,38.28,3.31,60.95
Stage3 (287).jpg,641.93,38.48,3.51,61.15
Stage3 (288).jpg,642.13,38.68,3.71,61.35
Stage3 (289).jpg,642.33,38.88,3.91,61.55
Stage3 (290).jpg,642.53,39.08,4.11,61.75
Stage3 (291).jpg,642.73,39.28,4.31,61.95
Stage3 (292).jpg,642.93,39.48,4.51,62.15
Stage3 (293).jpg,643.13,39.68,4.71,62.35
Stage3 (294).jpg,643.33,39.88,4.91,62.55
Stage3 (295).jpg,643.53,40.08,5.11,62.75
Stage3 (296).jpg,644.13,40.68,5.71,63.35
Stage3 (297).jpg,644.33,40.88,5.91,63.55
Stage3 (298).jpg,644.53,41.08,6.11,63.75
Stage3 (299).jpg,644.73,41.28,6.31,63.95
Stage3 (300).jpg,644.93,41.48,6.51,64.15
Stage3 (301).jpg,645.13,41.68,6.71,64.35
Stage3 (302).jpg,645.33,41.88,6.91,64.55
Stage3 (303).jpg,645.53,42.08,7.11,64.75
Stage3 (304).jpg,645.73,42.28,7.31,64.95
Stage3 (305).jpg,645.93,42.48,7.51,65.15
Stage3 (306).jpg,641.33,37.88,2.91,60.55
Stage3 (307).jpg,641.53,38.08,3.11,60.75
Stage3 (308).jpg,641.73,38.28,3.31,60.95
Stage3 (309).jpg,641.93,38.48,3.51,61.15
Stage3 (310).jpg,642.13,38.68,3.71,61.35
Stage3 (311).jpg,642.33,38.88,3.91,61.55
Stage3 (312).jpg,642.53,39.08,4.11,61.75
Stage3 (313).jpg,642.73,39.28,4.31,61.95
Stage3 (314).jpg,642.93,39.48,4.51,62.15
Stage3 (315).jpg,643.13,39.68,4.71,62.35
Stage3 (316).jpg,643.33,39.88,4.91,62.55
Stage3 (317).jpg,641.53,38.08,3.11,60.75
Stage3 (318).jpg,641.73,38.28,3.31,60.95
Stage3 (319).jpg,641.93,38.48,3.51,61.15
Stage3 (320).jpg,642.13,38.68,3.71,61.35
Stage3 (321).jpg,642.33,38.88,3.91,61.55
Stage3 (322).jpg,642.53,39.08,4.11,61.75
Stage3 (323).jpg,642.73,39.28,4.31,61.95
Stage3 (324).jpg,642.93,39.48,4.51,62.15
Stage3 (325).jpg,643.13,39.68,4.71,62.35
Stage3 (326).jpg,643.33,39.88,4.91,62.55
Stage3 (327).jpg,643.53,40.08,5.11,62.75
Stage3 (328).jpg,643.73,40.28,5.31,62.95
Stage3 (329).jpg,643.93,40.48,5.51,63.15
Stage3 (330).jpg,644.13,40.68,5.71,63.35
Stage3 (331).jpg,644.33,40.88,5.91,63.55
Stage3 (332).jpg,644.53,41.08,6.11,63.75
Stage3 (333).jpg,644.73,41.28,6.31,63.95
Stage3 (334).jpg,644.93,41.48,6.51,64.15
Stage3 (335).jpg,645.13,41.68,6.71,64.35
Stage3 (336).jpg,645.33,41.88,6.91,64.55
Stage3 (337).jpg,645.53,42.08,7.11,64.75
Stage3 (338).jpg,645.73,42.28,7.31,64.95
Stage3 (339).jpg,645.93,42.48,7.51,65.15
Stage3 (340).jpg,641.33,37.88,2.91,60.55
Stage3 (341).jpg,641.53,38.08,3.11,60.75
Stage3 (342).jpg,641.73,38.28,3.31,60.95
Stage3 (343).jpg,641.93,38.48,3.51,61.15
Stage3 (344).jpg,642.13,38.68,3.71,61.35
Stage3 (345).jpg,642.33,38.88,3.91,61.55
Stage3 (346).jpg,642.53,39.08,4.11,61.75
Stage3 (347).jpg,642.73,39.28,4.31,61.95
Stage3 (348).jpg,642.93,39.48,4.51,62.15
Stage3 (349).jpg,643.13,39.68,4.71,62.35
Stage3 (350).jpg,643.33,39.88,4.91,62.55
Stage3 (351).jpg,643.53,40.08,5.11,62.75
Stage3 (352).jpg,643.73,40.28,5.31,62.95
Stage3 (353).jpg,643.93,40.48,5.51,63.15
Stage3 (354).jpg,644.13,40.68,5.71,63.35
Stage3 (355).jpg,644.33,40.88,5.91,63.55
Stage3 (356).jpg,644.53,41.08,6.11,63.75
Stage3 (357).jpg,644.73,41.28,6.31,63.95
Stage3 (358).jpg,644.93,41.48,6.51,64.15
Stage3 (359).jpg,645.13,41.68,6.71,64.35
Stage3 (360).jpg,645.33,41.88,6.91,64.55
Stage3 (361).jpg,645.53,42.08,7.11,64.75
Stage3 (362).jpg,645.73,42.28,7.31,64.95
Stage3 (363).jpg,645.93,42.48,7.51,65.15
Stage3 (364).jpg,644.13,40.68,5.71,63.35
Stage3 (365).jpg,644.33,40.88,5.91,63.55
Stage3 (366).jpg,644.53,41.08,6.11,63.75
Stage3 (367).jpg,644.73,41.28,6.31,63.95
Stage3 (368).jpg,641.53,38.08,3.11,60.75
Stage3 (369).jpg,641.73,38.28,3.31,60.95
Stage3 (370).jpg,641.93,38.48,3.51,61.15
Stage3 (371).jpg,642.13,38.68,3.71,61.35
Stage3 (372).jpg,642.33,38.88,3.91,61.55
Stage3 (373).jpg,642.53,39.08,4.11,61.75
Stage3 (374).jpg,642.73,39.28,4.31,61.95
Stage3 (375).jpg,642.93,39.48,4.51,62.15
Stage3 (376).jpg,643.13,39.68,4.71,62.35
Stage3 (377).jpg,643.33,39.88,4.91,62.55
Stage3 (378).jpg,643.53,40.08,5.11,62.75
Stage3 (379).jpg,643.73,40.28,5.31,62.95
Stage3 (380).jpg,643.93,40.48,5.51,63.15
Stage3 (381).jpg,644.13,40.68,5.71,63.35
Stage3 (382).jpg,644.33,40.88,5.91,63.55
Stage3 (383).jpg,644.53,41.08,6.11,63.75
Stage3 (384).jpg,644.73,41.28,6.31,63.95
Stage3 (385).jpg,644.93,41.48,6.51,64.15
Stage3 (386).jpg,645.13,41.68,6.71,64.35
Stage3 (387).jpg,645.33,41.88,6.91,64.55
Stage3 (388).jpg,645.53,42.08,7.11,64.75
Stage3 (389).jpg,645.73,42.28,7.31,64.95
Stage3 (390).jpg,645.93,42.48,7.51,65.15
Stage3 (391).jpg,641.33,37.88,2.91,60.55
Stage3 (392).jpg,641.53,38.08,3.11,60.75
Stage3 (393).jpg,641.73,38.28,3.31,60.95
Stage3 (394).jpg,641.53,38.08,3.11,60.75
Stage3 (395).jpg,641.73,38.28,3.31,60.95
Stage3 (396).jpg,641.93,38.48,3.51,61.15
Stage3 (397).jpg,642.13,38.68,3.71,61.35
Stage3 (398).jpg,642.33,38.88,3.91,61.55
Stage3 (399).jpg,642.53,39.08,4.11,61.75
Stage3 (400).jpg,642.73,39.28,4.31,61.95
Stage3 (401).jpg,642.93,39.48,4.51,62.15
Stage3 (402).jpg,643.13,39.68,4.71,62.35
Stage3 (403).jpg,643.33,39.88,4.91,62.55
Stage3 (404).jpg,643.53,40.08,5.11,62.75
Stage3 (405).jpg,643.73,40.28,5.31,62.95
Stage3 (406).jpg,643.93,40.48,5.51,63.15
Stage3 (407).jpg,644.13,40.68,5.71,63.35
Stage3 (408).jpg,644.33,40.88,5.91,63.55
Stage3 (409).jpg,644.53,41.08,6.11,63.75
Stage3 (410).jpg,644.73,41.28,6.31,63.95
Stage3 (411).jpg,644.93,41.48,6.51,64.15
Stage3 (412).jpg,645.13,41.68,6.71,64.35
Stage3 (413).jpg,645.33,41.88,6.91,64.55
Stage3 (414).jpg,645.53,42.08,7.11,64.75
Stage3 (415).jpg,645.73,42.28,7.31,64.95
Stage3 (416).jpg,645.93,42.48,7.51,65.15
Stage3 (417).jpg,641.33,37.88,2.91,60.55
Stage3 (418).jpg,641.53,38.08,3.11,60.75
Stage3 (419).jpg,641.73,38.28,3.31,60.95
Stage3 (420).jpg,641.93,38.48,3.51,61.15
Stage3 (421).jpg,642.13,38.68,3.71,61.35
Stage3 (422).jpg,642.33,38.88,3.91,61.55
Stage3 (423).jpg,642.53,39.08,4.11,61.75
Stage3 (424).jpg,641.53,38.08,3.11,60.75
Stage3 (425).jpg,641.73,38.28,3.31,60.95
Stage3 (426).jpg,641.93,38.48,3.51,61.15
Stage3 (427).jpg,642.13,38.68,3.71,61.35
Stage3 (428).jpg,642.33,38.88,3.91,61.55
Stage3 (429).jpg,642.53,39.08,4.11,61.75
Stage3 (430).jpg,642.73,39.28,4.31,61.95
Stage3 (431).jpg,642.93,39.48,4.51,62.15
Stage3 (432).jpg,643.13,39.68,4.71,62.35
Stage3 (433).jpg,643.33,39.88,4.91,62.55
Stage3 (434).jpg,643.53,40.08,5.11,62.75
Stage3 (435).jpg,643.73,40.28,5.31,62.95
Stage3 (436).jpg,643.93,40.48,5.51,63.15
Stage3 (437).jpg,644.13,40.68,5.71,63.35
Stage3 (438).jpg,644.33,40.88,5.91,63.55
Stage3 (439).jpg,644.53,41.08,6.11,63.75
Stage3 (440).jpg,644.73,41.28,6.31,63.95
Stage3 (441).jpg,644.93,41.48,6.51,64.15
Stage3 (442).jpg,645.13,41.68,6.71,64.35
Stage3 (443).jpg,645.33,41.88,6.91,64.55
Stage3 (444).jpg,645.53,42.08,7.11,64.75
Stage3 (445).jpg,645.73,42.28,7.31,64.95
Stage3 (446).jpg,645.93,42.48,7.51,65.15
Stage3 (447).jpg,641.33,37.88,2.91,60.55
Stage3 (448).jpg,641.53,38.08,3.11,60.75
Stage3 (449).jpg,641.73,38.28,3.31,60.95
Stage3 (450).jpg,641.93,38.48,3.51,61.15
Stage3 (451).jpg,642.13,38.68,3.71,61.35
Stage3 (452).jpg,642.33,38.88,3.91,61.55
Stage3 (453).jpg,642.53,39.08,4.11,61.75
Stage3 (454).jpg,642.73,39.28,4.31,61.95
Stage3 (455).jpg,642.93,39.48,4.51,62.15
Stage3 (456).jpg,643.13,39.68,4.71,62.35
Stage3 (457).jpg,643.33,39.88,4.91,62.55
Stage3 (458).jpg,643.53,40.08,5.11,62.75
Stage3 (459).jpg,643.73,40.28,5.31,62.95
Stage3 (460).jpg,643.93,40.48,5.51,63.15
Stage3 (461).jpg,644.13,40.68,5.71,63.35
Stage3 (462).jpg,644.33,40.88,5.91,63.55
Stage3 (463).jpg,644.53,41.08,6.11,63.75
Stage3 (464).jpg,644.73,41.28,6.31,63.95
Stage3 (465).jpg,644.93,41.48,6.51,64.15
Stage3 (466).jpg,645.13,41.68,6.71,64.35
Stage3 (467).jpg,645.33,41.88,6.91,64.55
Stage3 (468).jpg,645.53,42.08,7.11,64.75
Stage3 (469).jpg,645.73,42.28,7.31,64.95
Stage3 (470).jpg,645.93,42.48,7.51,65.15
Stage3 (471).jpg,644.13,40.68,5.71,63.35
Stage3 (472).jpg,644.33,40.88,5.91,63.55
Stage3 (473).jpg,644.53,41.08,6.11,63.75
Stage3 (474).jpg,644.73,41.28,6.31,63.95
Stage3 (475).jpg,644.93,41.48,6.51,64.15
Stage3 (476).jpg,645.13,41.68,6.71,64.35
Stage3 (477).jpg,645.33,41.88,6.91,64.55
Stage3 (478).jpg,645.53,42.08,7.11,64.75
Stage3 (479).jpg,645.73,42.28,7.31,64.95
Stage3 (480).jpg,645.93,42.48,7.51,65.15
Stage3 (481).jpg,641.33,37.88,2.91,60.55
Stage3 (482).jpg,641.53,38.08,3.11,60.75
Stage3 (483).jpg,641.73,38.28,3.31,60.95
Stage3 (484).jpg,641.93,38.48,3.51,61.15
Stage3 (485).jpg,644.13,40.68,5.71,63.35
Stage3 (486).jpg,644.33,40.88,5.91,63.55
Stage3 (487).jpg,644.53,41.08,6.11,63.75
Stage3 (488).jpg,644.73,41.28,6.31,63.95
Stage3 (489).jpg,644.93,41.48,6.51,64.15
Stage3 (490).jpg,645.13,41.68,6.71,64.35
Stage3 (491).jpg,645.33,41.88,6.91,64.55
Stage3 (492).jpg,645.53,42.08,7.11,64.75
Stage3 (493).jpg,645.73,42.28,7.31,64.95
Stage3 (494).jpg,645.93,42.48,7.51,65.15
Stage3 (495).jpg,641.33,37.88,2.91,60.55
Stage3 (496).jpg,641.53,38.08,3.11,60.75
Stage3 (497).jpg,641.73,38.28,3.31,60.95
Stage3 (498).jpg,641.93,38.48,3.51,61.15
Stage3 (499).jpg,642.13,38.68,3.71,61.35
Stage3 (500).jpg,642.33,38.88,3.91,61.55
Stage3 (501).jpg,642.53,39.08,4.11,61.75
Stage3 (502).jpg,642.73,39.28,4.31,61.95
Stage3 (503).jpg,642.93,39.48,4.51,62.15
Stage3 (504).jpg,643.13,39.68,4.71,62.35
Stage3 (505).jpg,643.33,39.88,4.91,62.55
Stage3 (506).jpg,643.53,40.08,5.11,62.75
Stage3 (507).jpg,644.13,40.68,5.71,63.35
Stage3 (508).jpg,644.33,40.88,5.91,63.55
Stage3 (509).jpg,644.53,41.08,6.11,63.75
Stage3 (510).jpg,644.73,41.28,6.31,63.95
Stage3 (511).jpg,644.93,41.48,6.51,64.15
Stage3 (512).jpg,645.13,41.68,6.71,64.35
Stage3 (513).jpg,645.33,41.88,6.91,64.55
Stage3 (514).jpg,645.53,42.08,7.11,64.75
Stage3 (515).jpg,645.73,42.28,7.31,64.95
Stage3 (516).jpg,645.93,42.48,7.51,65.15
Stage3 (517).jpg,641.33,37.88,2.91,60.55
Stage3 (518).jpg,641.53,38.08,3.11,60.75
Stage3 (519).jpg,641.73,38.28,3.31,60.95
Stage3 (520).jpg,641.93,38.48,3.51,61.15
Stage3 (521).jpg,642.13,38.68,3.71,61.35
Stage3 (522).jpg,642.33,38.88,3.91,61.55
Stage3 (523).jpg,642.53,39.08,4.11,61.75
Stage3 (524).jpg,642.73,39.28,4.31,61.95
Stage3 (525).jpg,642.93,39.48,4.51,62.15
Stage3 (526).jpg,643.13,39.68,4.71,62.35
Stage3 (527).jpg,643.33,39.88,4.91,62.55
Stage3 (528).jpg,643.53,40.08,5.11,62.75
Stage3 (529).jpg,643.73,40.28,5.31,62.95
Stage3 (530).jpg,643.93,40.48,5.51,63.15
Stage3 (531).jpg,644.13,40.68,5.71,63.35
Stage3 (532).jpg,644.33,40.88,5.91,63.55
Stage3 (533).jpg,644.53,41.08,6.11,63.75
Stage3 (534).jpg,645.13,41.68,6.71,64.35
Stage3 (535).jpg,645.13,41.68,6.71,64.35
Stage3 (536).jpg,645.33,41.88,6.91,64.55
Stage3 (537).jpg,645.53,42.08,7.11,64.75
Stage3 (538).jpg,645.73,42.28,7.31,64.95
Stage3 (539).jpg,645.93,42.48,7.51,65.15
Stage3 (540).jpg,645.13,41.68,6.71,64.35
Stage3 (541).jpg,645.33,41.88,6.91,64.55
Stage3 (542).jpg,645.53,42.08,7.11,64.75
Stage3 (543).jpg,645.73,42.28,7.31,64.95
Stage3 (544).jpg,645.13,41.68,6.71,64.35
Stage3 (545).jpg,645.33,41.88,6.91,64.55
Stage3 (546).jpg,645.53,42.08,7.11,64.75
Stage3 (547).jpg,645.73,42.28,7.31,64.95
Stage3 (548).jpg,645.93,42.48,7.51,65.15
Stage3 (549).jpg,641.33,37.88,2.91,60.55
Stage3 (550).jpg,641.53,38.08,3.11,60.75
Stage3 (551).jpg,641.73,38.28,3.31,60.95
Stage3 (552).jpg,641.93,38.48,3.51,61.15
Stage3 (553).jpg,642.13,38.68,3.71,61.35
Stage3 (554).jpg,642.33,38.88,3.91,61.55
Stage3 (555).jpg,642.53,39.08,4.11,61.75
Stage3 (556).jpg,642.73,39.28,4.31,61.95
Stage3 (557).jpg,645.13,41.68,6.71,64.35
Stage3 (558).jpg,645.33,41.88,6.91,64.55
Stage3 (559).jpg,645.53,42.08,7.11,64.75
Stage3 (560).jpg,645.73,42.28,7.31,64.95
Stage3 (561).jpg,645.93,42.48,7.51,65.15
Stage3 (562).jpg,641.33,37.88,2.91,60.55
Stage3 (563).jpg,641.53,38.08,3.11,60.75
Stage3 (564).jpg,641.73,38.28,3.31,60.95
Stage3 (565).jpg,641.93,38.48,3.51,61.15
Stage3 (566).jpg,642.13,38.68,3.71,61.35
Stage3 (567).jpg,642.33,38.88,3.91,61.55
Stage3 (568).jpg,642.53,39.08,4.11,61.75
Stage3 (569).jpg,642.73,39.28,4.31,61.95
Stage3 (570).jpg,642.93,39.48,4.51,62.15
Stage3 (571).jpg,643.13,39.68,4.71,62.35
Stage3 (572).jpg,643.33,39.88,4.91,62.55
Stage3 (573).jpg,643.53,40.08,5.11,62.75
Stage3 (574).jpg,643.73,40.28,5.31,62.95
Stage3 (575).jpg,643.93,40.48,5.51,63.15
Stage3 (576).jpg,644.13,40.68,5.71,63.35
Stage3 (577).jpg,644.33,40.88,5.91,63.55
Stage3 (578).jpg,645.13,41.68,6.71,64.35
Stage3 (579).jpg,645.33,41.88,6.91,64.55
Stage3 (580).jpg,645.53,42.08,7.11,64.75
Stage3 (581).jpg,645.73,42.28,7.31,64.95
Stage3 (582).jpg,645.93,42.48,7.51,65.15
Stage3 (583).jpg,641.33,37.88,2.91,60.55
Stage3 (584).jpg,641.53,38.08,3.11,60.75
Stage3 (585).jpg,641.73,38.28,3.31,60.95
